0.00077874,-0.00046829,0.0035227,-0.00030021,-0.0027534,-0.0075286
0.00076992,-0.00047835,0.0035108,-0.00018711,-0.0027108,-0.007045
0.00076109,-0.00048841,0.0034989,-7.4001e-05,-0.0026682,-0.0065613
0.00075226,-0.00049848,0.003487,3.9106e-05,-0.0026256,-0.0060776
0.00074344,-0.00050854,0.003475,0.00015221,-0.002583,-0.005594
0.00073461,-0.0005186,0.0034631,0.00026532,-0.0025404,-0.0051103
0.00072578,-0.00052867,0.0034512,0.00037844,-0.0024978,-0.0046267
0.00071695,-0.00053873,0.0034393,0.00049156,-0.0024552,-0.004143
0.00070812,-0.0005488,0.0034273,0.00060468,-0.0024125,-0.0036594
0.00069928,-0.00055886,0.0034154,0.00071782,-0.0023699,-0.0031758
0.00069045,-0.00056893,0.0034035,0.00083097,-0.0023273,-0.0026922
0.00068162,-0.000579,0.0033916,0.00094413,-0.0022846,-0.0022087
0.00067278,-0.00058908,0.0033797,0.0010573,-0.002242,-0.0017253
0.00066394,-0.00059915,0.0033679,0.0011705,-0.0021994,-0.0012421
0.0006551,-0.00060923,0.003356,0.0012837,-0.0021569,-0.00075891
0.00064627,-0.00061931,0.0033442,0.0013969,-0.0021144,-0.00027595
0.00063743,-0.00062939,0.0033325,0.0015102,-0.002072,0.00020681
0.00062859,-0.00063947,0.0033207,0.0016234,-0.0020297,0.00068931
0.00061975,-0.00064956,0.0033091,0.0017367,-0.0019875,0.0011715
0.00061092,-0.00065965,0.0032975,0.0018501,-0.0019454,0.0016534
0.00060209,-0.00066974,0.0032859,0.0019634,-0.0019035,0.0021349
0.00059326,-0.00067984,0.0032745,0.0020768,-0.0018618,0.0026159
0.00058443,-0.00068994,0.0032631,0.0021902,-0.0018203,0.0030965
0.00057561,-0.00070004,0.0032519,0.0023036,-0.0017791,0.0035765
0.0005668,-0.00071014,0.0032408,0.0024171,-0.0017381,0.0040559
0.00055799,-0.00072025,0.0032298,0.0025306,-0.0016974,0.0045346
0.00054919,-0.00073036,0.0032189,0.0026441,-0.0016571,0.0050127
0.0005404,-0.00074048,0.0032082,0.0027577,-0.0016171,0.0054899
